652,0
653,0
654,19
655,8
656,8
657,2
658,0
659,4
660,1
661,0
662,4
663,11
664,2
665,0
666,0
667,1
668,5
669,0
670,4
671,22
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,23
680,0
681,0
682,0
683,0
684,1
685,0
686,8
687,32
688,7
689,8
690,0
691,0
692,1
693,0
694,0
695,1
696,8
697,4
698,0
699,0
700,5
701,1
702,16
703,13
704,8
705,15
706,0
707,6
708,0
709,0
710,1
711,4
712,1
713,1
714,1
715,0
716,0
717,0
718,9
719,18
720,0
721,0
722,0
723,2
724,0
725,0
726,1
727,4
728,0
729,0
730,0
731,0
732,20
733,1
734,20
735,16
736,1
737,1
738,1
739,9
740,1
741,0
742,2
743,16
744,0
745,0
746,0
747,2
748,7
749,1
750,6
751,17
752,13
753,1
754,0
755,2
756,3
757,0
758,0
759,1
760,6
761,3
762,1
763,0
764,17
765,2
766,4
767,11
768,18
769,19
770,0
771,5
772,0
773,0
774,0
775,6
776,0
777,0
778,0
779,0
780,2
781,0
782,6
783,8
784,11
785,12
786,0
787,7
788,1
789,0
790,0
791,4
792,6
793,1
794,0
795,2
796,10
797,0
798,3
799,7
800,3
801,9
802,0
803,7
804,2
805,0
806,1
807,22
808,1
809,0
810,0
811,0
812,1
813,2
814,2
815,14
816,11
817,21
818,0
819,2
820,0
821,0
822,0
823,5
824,3
825,1
826,0
827,0
828,5
829,1
830,4
831,11
832,14
833,22
834,0
835,3
836,0
837,0
838,0
839,4
840,0
841,0
842,0
843,0
844,0
845,0
846,9
847,12
848,13
849,9
850,1
851,2
852,0
853,0
854,1
855,3
856,5
857,2
858,0
859,0
860,8
861,1
862,7
863,12
864,4
865,10
866,0
867,3
868,0
869,0
870,1
871,16
872,0
873,1
874,0
875,0
876,1
877,0
878,4
879,24
880,15
881,1
882,2
883,2
884,4
885,0
886,0
887,0
888,6
889,4
890,1
891,0
892,16
893,3
894,5
895,5
896,19
897,32
898,0
899,1
900,1
901,0
902,0
903,1
904,0
905,1
906,0
907,0
908,0
909,1
910,2
911,6
912,16
913,25
914,1
915,0
916,1
917,0
918,0
919,3
920,5
921,0
922,0
923,0
924,4
925,0
926,2
927,7
928,25
929,5
930,0
931,1
932,1
933,0
934,1
935,4
936,18
937,0
938,0
939,0
940,7
941,0
942,1
943,1
944,34
945,3
946,0
947,0
948,0
949,0
950,0
951,0
952,2
953,0
954,0
955,0
956,2
957,0
958,14
959,9
960,8
961,27
962,0
963,4
964,0
965,0
966,0
967,2
968,0
969,1
970,0
971,0
972,0
973,0
974,6
975,16
976,9
977,15
978,0
979,20
980,0
981,0
982,0
983,16
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,4
992,21
993,12
994,0
995,8
996,0
997,2
998,1
999,11
1000,0
1001,0
1002,0
1003,1
1004,2
1005,0
1006,2
1007,4
1008,39
1009,9
1010,1
1011,2
1012,0
1013,0
1014,1
1015,1
1016,2
1017,0
1018,0
1019,0
1020,1
1021,2
1022,0
1023,6
